GRE,TOEFL,UnivRating,SOP,LOR,CGPA,Research,Chance,High_Chance
337.0,118.0,4,4.5,4.5,9.65,1,0.92,1
324.0,107.0,4,4.0,4.5,8.87,1,0.76,0
316.0,104.0,3,3.0,3.5,8.0,1,0.72,0
322.0,110.0,3,3.5,2.5,8.67,1,0.8,0
314.0,103.0,2,2.0,3.0,8.21,0,0.65,0
330.0,115.0,5,4.5,3.0,9.34,1,0.9,1
321.0,109.0,3,3.0,4.0,8.2,1,0.75,0
308.0,101.0,2,3.0,4.0,7.9,0,0.68,0
302.0,102.0,1,2.0,1.5,8.0,0,0.5,0
323.0,108.0,3,3.5,3.0,8.6,0,0.45,0
325.0,106.0,3,3.5,4.0,8.4,1,0.52,0
327.0,111.0,4,4.0,4.5,9.0,1,0.84,1
328.0,112.0,4,4.0,4.5,9.1,1,0.78,0
307.0,109.0,3,4.0,3.0,8.0,1,0.62,0
311.0,104.0,3,3.5,2.0,8.2,1,0.61,0
314.0,105.0,3,3.5,2.5,8.3,0,0.54,0
317.0,107.0,3,4.0,3.0,8.7,0,0.66,0
319.0,106.0,3,4.0,3.0,8.0,1,0.65,0
318.0,110.0,3,4.0,3.0,8.8,0,0.63,0
303.0,102.0,3,3.5,3.0,8.5,0,0.62,0
312.0,107.0,3,3.0,2.0,7.9,1,0.64,0
325.0,114.0,4,3.0,2.0,8.4,0,0.7,0
328.0,116.0,5,5.0,5.0,9.5,1,0.94,1
334.0,119.0,5,5.0,4.5,9.7,1,0.95,1
322.0,109.0,5,4.5,3.5,8.8,0,0.76,0
298.0,98.0,2,1.5,2.5,7.5,1,0.44,0
295.0,93.0,1,2.0,2.0,7.2,0,0.46,0
310.0,99.0,2,1.5,2.0,7.3,0,0.54,0
300.0,97.0,2,3.0,3.0,8.1,1,0.65,0
327.0,103.0,3,4.0,4.0,8.3,1,0.74,0
338.0,118.0,4,3.0,4.5,9.4,1,0.91,1
320.0,110.0,5,5.0,5.0,9.2,1,0.88,1
299.0,106.0,2,4.0,4.0,8.4,0,0.64,0
300.0,105.0,1,1.0,2.0,7.8,0,0.58,0
304.0,105.0,1,3.0,1.5,7.5,0,0.52,0
307.0,108.0,2,4.0,3.5,7.7,0,0.48,0
308.0,110.0,3,3.5,3.0,8.0,1,0.46,0
316.0,105.0,2,2.5,2.5,8.2,1,0.49,0
313.0,107.0,2,2.5,2.0,8.5,1,0.53,0
332.0,117.0,4,4.5,4.0,9.1,0,0.87,1
326.0,113.0,5,4.5,4.0,9.4,1,0.91,1
322.0,110.0,5,5.0,4.0,9.1,1,0.88,1
329.0,114.0,5,4.0,5.0,9.3,1,0.86,1
339.0,119.0,5,4.5,4.0,9.7,0,0.89,1
321.0,110.0,3,3.5,5.0,8.85,1,0.82,1
327.0,111.0,4,3.0,4.0,8.4,1,0.78,0
313.0,98.0,3,2.5,4.5,8.3,1,0.76,0
312.0,100.0,2,1.5,3.5,7.9,1,0.56,0
334.0,116.0,4,4.0,3.0,8.0,1,0.78,0
324.0,112.0,4,4.0,2.5,8.1,1,0.72,0
322.0,110.0,3,3.0,3.5,8.0,0,0.7,0
320.0,103.0,3,3.0,3.0,7.7,0,0.64,0
316.0,102.0,3,2.0,3.0,7.4,0,0.64,0
298.0,99.0,2,4.0,2.0,7.6,0,0.46,0
300.0,99.0,1,3.0,2.0,6.8,1,0.36,0
311.0,104.0,2,2.0,2.0,8.3,0,0.42,0
309.0,100.0,2,3.0,3.0,8.1,0,0.48,0
307.0,101.0,3,4.0,3.0,8.2,0,0.47,0
304.0,105.0,2,3.0,3.0,8.2,1,0.54,0
315.0,107.0,2,4.0,3.0,8.5,1,0.56,0
325.0,111.0,3,3.0,3.5,8.7,0,0.52,0
325.0,112.0,4,3.5,3.5,8.92,0,0.55,0
327.0,114.0,3,3.0,3.0,9.02,0,0.61,0
316.0,107.0,2,3.5,3.5,8.64,1,0.57,0
318.0,109.0,3,3.5,4.0,9.22,1,0.68,0
328.0,115.0,4,4.5,4.0,9.16,1,0.78,0
332.0,118.0,5,5.0,5.0,9.64,1,0.94,1
336.0,112.0,5,5.0,5.0,9.76,1,0.96,1
321.0,111.0,5,5.0,5.0,9.45,1,0.93,1
314.0,108.0,4,4.5,4.0,9.04,1,0.84,1
314.0,106.0,3,3.0,5.0,8.9,0,0.74,0
329.0,114.0,2,2.0,4.0,8.56,1,0.72,0
327.0,112.0,3,3.0,3.0,8.72,1,0.74,0
301.0,99.0,2,3.0,2.0,8.22,0,0.64,0
296.0,95.0,2,3.0,2.0,7.54,1,0.44,0
294.0,93.0,1,1.5,2.0,7.36,0,0.46,0
312.0,105.0,3,2.0,3.0,8.02,1,0.5,0
320.0,110.0,5,5.0,4.5,9.22,1,0.92,1
322.0,115.0,5,4.0,4.5,9.36,1,0.92,1
319.0,103.0,4,4.5,3.5,8.66,0,0.76,0
315.0,106.0,3,4.5,3.5,8.42,0,0.72,0
317.0,107.0,2,3.5,3.0,8.28,0,0.66,0
314.0,108.0,3,4.5,3.5,8.14,0,0.64,0
316.0,109.0,4,4.5,3.5,8.76,1,0.74,0
318.0,106.0,2,4.0,4.0,7.92,1,0.64,0
299.0,97.0,3,5.0,3.5,7.66,0,0.38,0
298.0,98.0,2,4.0,3.0,8.03,0,0.34,0
301.0,97.0,2,3.0,3.0,7.88,1,0.44,0
303.0,99.0,3,2.0,2.5,7.66,0,0.36,0
304.0,100.0,4,1.5,2.5,7.84,0,0.42,0
306.0,100.0,2,3.0,3.0,8.0,0,0.48,0
332.0,119.0,4,5.0,4.5,9.24,1,0.9,1
323.0,113.0,3,4.0,4.0,8.88,1,0.79,0
322.0,107.0,3,3.5,3.5,8.46,1,0.71,0
312.0,105.0,2,2.5,3.0,8.12,0,0.64,0
314.0,106.0,2,4.0,3.5,8.25,0,0.62,0
317.0,104.0,2,4.5,4.0,8.47,0,0.57,0
326.0,112.0,3,3.5,3.0,9.05,1,0.74,0
316.0,110.0,3,4.0,4.5,8.78,1,0.69,0
329.0,111.0,4,4.5,4.5,9.18,1,0.87,1
338.0,117.0,4,3.5,4.5,9.46,1,0.91,1
331.0,116.0,5,5.0,5.0,9.38,1,0.93,1
304.0,103.0,5,5.0,4.0,8.64,0,0.68,0
305.0,108.0,5,3.0,3.0,8.48,0,0.61,0
321.0,109.0,4,4.0,4.0,8.68,1,0.69,0
301.0,107.0,3,3.5,3.5,8.34,1,0.62,0
320.0,110.0,2,4.0,3.5,8.56,0,0.72,0
311.0,105.0,3,3.5,3.0,8.45,1,0.59,0
310.0,106.0,4,4.5,4.5,9.04,1,0.66,0
299.0,102.0,3,4.0,3.5,8.62,0,0.56,0
290.0,104.0,4,2.0,2.5,7.46,0,0.45,0
296.0,99.0,2,3.0,3.5,7.28,0,0.47,0
327.0,104.0,5,3.0,3.5,8.84,1,0.71,0
335.0,117.0,5,5.0,5.0,9.56,1,0.94,1
334.0,119.0,5,4.5,4.5,9.48,1,0.94,1
310.0,106.0,4,1.5,2.5,8.36,0,0.57,0
308.0,108.0,3,3.5,3.5,8.22,0,0.61,0
301.0,106.0,4,2.5,3.0,8.47,0,0.57,0
300.0,100.0,3,2.0,3.0,8.66,1,0.64,0
323.0,113.0,3,4.0,3.0,9.32,1,0.85,1
319.0,112.0,3,2.5,2.0,8.71,1,0.78,0
326.0,112.0,3,3.5,3.0,9.1,1,0.84,1
333.0,118.0,5,5.0,5.0,9.35,1,0.92,1
339.0,114.0,5,4.0,4.5,9.76,1,0.96,1
303.0,105.0,5,5.0,4.5,8.65,0,0.77,0
309.0,105.0,5,3.5,3.5,8.56,0,0.71,0
323.0,112.0,5,4.0,4.5,8.78,0,0.79,0
333.0,113.0,5,4.0,4.0,9.28,1,0.89,1
314.0,109.0,4,3.5,4.0,8.77,1,0.82,1
312.0,103.0,3,5.0,4.0,8.45,0,0.76,0
316.0,100.0,2,1.5,3.0,8.16,1,0.71,0
326.0,116.0,2,4.5,3.0,9.08,1,0.8,0
318.0,109.0,1,3.5,3.5,9.12,0,0.78,0
329.0,110.0,2,4.0,3.0,9.15,1,0.84,1
332.0,118.0,2,4.5,3.5,9.36,1,0.9,1
331.0,115.0,5,4.0,3.5,9.44,1,0.92,1
325.0,112.0,2,3.0,3.5,8.96,1,0.8,0
320.0,113.0,2,2.0,2.5,8.64,1,0.81,1
315.0,105.0,3,2.0,2.5,8.48,0,0.75,0
326.0,114.0,3,3.0,3.0,9.11,1,0.83,1
311.0,106.0,2,3.5,3.0,8.26,1,0.79,0
334.0,114.0,4,4.0,4.0,9.43,1,0.93,1
332.0,116.0,5,5.0,5.0,9.28,1,0.94,1
321.0,112.0,5,5.0,5.0,9.06,1,0.86,1
324.0,105.0,3,3.0,4.0,8.75,0,0.79,0
326.0,108.0,3,3.0,3.5,8.89,0,0.8,0
312.0,109.0,3,3.0,3.0,8.69,0,0.77,0
315.0,105.0,3,2.0,2.5,8.34,0,0.7,0
309.0,104.0,2,2.0,2.5,8.26,0,0.65,0
306.0,106.0,2,2.0,2.5,8.14,0,0.61,0
297.0,100.0,1,1.5,2.0,7.9,0,0.52,0
315.0,103.0,1,1.5,2.0,7.86,0,0.57,0
298.0,99.0,1,1.5,3.0,7.46,0,0.53,0
318.0,109.0,3,3.0,3.0,8.5,0,0.67,0
317.0,105.0,3,3.5,3.0,8.56,0,0.68,0
329.0,111.0,4,4.5,4.0,9.01,1,0.81,1
322.0,110.0,5,4.5,4.0,8.97,0,0.78,0
302.0,102.0,3,3.5,5.0,8.33,0,0.65,0
313.0,102.0,3,2.0,3.0,8.27,0,0.64,0
293.0,97.0,2,2.0,4.0,7.8,1,0.64,0
311.0,99.0,2,2.5,3.0,7.98,0,0.65,0
312.0,101.0,2,2.5,3.5,8.04,1,0.68,0
334.0,117.0,5,4.0,4.5,9.07,1,0.89,1
322.0,110.0,4,4.0,5.0,9.13,1,0.86,1
323.0,113.0,4,4.0,4.5,9.23,1,0.89,1
321.0,111.0,4,4.0,4.0,8.97,1,0.87,1
320.0,111.0,4,4.5,3.5,8.87,1,0.85,1
329.0,119.0,4,4.5,4.5,9.16,1,0.9,1
319.0,110.0,3,3.5,3.5,9.04,0,0.82,1
309.0,108.0,3,2.5,3.0,8.12,0,0.72,0
307.0,102.0,3,3.0,3.0,8.27,0,0.73,0
300.0,104.0,3,3.5,3.0,8.16,0,0.71,0
305.0,107.0,2,2.5,2.5,8.42,0,0.71,0
299.0,100.0,2,3.0,3.5,7.88,0,0.68,0
314.0,110.0,3,4.0,4.0,8.8,0,0.75,0
316.0,106.0,2,2.5,4.0,8.32,0,0.72,0
327.0,113.0,4,4.5,4.5,9.11,1,0.89,1
317.0,107.0,3,3.5,3.0,8.68,1,0.84,1
335.0,118.0,5,4.5,3.5,9.44,1,0.93,1
331.0,115.0,5,4.5,3.5,9.36,1,0.93,1
324.0,112.0,5,5.0,5.0,9.08,1,0.88,1
324.0,111.0,5,4.5,4.0,9.16,1,0.9,1
323.0,110.0,5,4.0,5.0,8.98,1,0.87,1
322.0,114.0,5,4.5,4.0,8.94,1,0.86,1
336.0,118.0,5,4.5,5.0,9.53,1,0.94,1
316.0,109.0,3,3.5,3.0,8.76,0,0.77,0
307.0,107.0,2,3.0,3.5,8.52,1,0.78,0
306.0,105.0,2,3.0,2.5,8.26,0,0.73,0
310.0,106.0,2,3.5,2.5,8.33,0,0.73,0
311.0,104.0,3,4.5,4.5,8.43,0,0.7,0
313.0,107.0,3,4.0,4.5,8.69,0,0.72,0
317.0,103.0,3,2.5,3.0,8.54,1,0.73,0
315.0,110.0,2,3.5,3.0,8.46,1,0.72,0
298.0,105.0,3,3.5,4.0,8.54,0,0.69,0
295.0,99.0,2,2.5,3.0,7.65,0,0.57,0
315.0,99.0,2,3.5,3.0,7.89,0,0.63,0
310.0,102.0,3,3.5,4.0,8.02,1,0.66,0
305.0,106.0,2,3.0,3.0,8.16,0,0.64,0
301.0,104.0,3,3.5,4.0,8.12,1,0.68,0
325.0,108.0,4,4.5,4.0,9.06,1,0.79,0
328.0,110.0,4,5.0,4.0,9.14,1,0.82,1
333.0,119.0,5,5.0,4.5,9.78,1,0.96,1
331.0,117.0,4,4.5,5.0,9.42,1,0.94,1
330.0,116.0,5,5.0,4.5,9.36,1,0.93,1
322.0,112.0,4,4.5,4.5,9.26,1,0.91,1
321.0,109.0,4,4.0,4.0,9.13,1,0.85,1
324.0,110.0,4,3.0,3.5,8.97,1,0.84,1
312.0,104.0,3,3.5,3.5,8.42,0,0.74,0
313.0,103.0,3,4.0,4.0,8.75,0,0.76,0
316.0,110.0,3,3.5,4.0,8.56,0,0.75,0
324.0,113.0,4,4.5,4.0,8.79,0,0.76,0
308.0,109.0,2,3.0,4.0,8.45,0,0.71,0
305.0,105.0,2,3.0,2.0,8.23,0,0.67,0
296.0,99.0,2,2.5,2.5,8.03,0,0.61,0
306.0,110.0,2,3.5,4.0,8.45,0,0.63,0
312.0,110.0,2,3.5,3.0,8.53,0,0.64,0
318.0,112.0,3,4.0,3.5,8.67,0,0.71,0
324.0,111.0,4,3.0,3.0,9.01,1,0.82,1
313.0,104.0,3,4.0,4.5,8.65,0,0.73,0
319.0,106.0,3,3.5,2.5,8.33,1,0.74,0
312.0,107.0,2,2.5,3.5,8.27,0,0.69,0
304.0,100.0,2,2.5,3.5,8.07,0,0.64,0
330.0,113.0,5,5.0,4.0,9.31,1,0.91,1
326.0,111.0,5,4.5,4.0,9.23,1,0.88,1
325.0,112.0,4,4.0,4.5,9.17,1,0.85,1
329.0,114.0,5,4.5,5.0,9.19,1,0.86,1
310.0,104.0,3,2.0,3.5,8.37,0,0.7,0
299.0,100.0,1,1.5,2.0,7.89,0,0.59,0
296.0,101.0,1,2.5,3.0,7.68,0,0.6,0
317.0,103.0,2,2.5,2.0,8.15,0,0.65,0
324.0,115.0,3,3.5,3.0,8.76,1,0.7,0
325.0,114.0,3,3.5,3.0,9.04,1,0.76,0
314.0,107.0,2,2.5,4.0,8.56,0,0.63,0
328.0,110.0,4,4.0,2.5,9.02,1,0.81,1
316.0,105.0,3,3.0,3.5,8.73,0,0.72,0
311.0,104.0,2,2.5,3.5,8.48,0,0.71,0
324.0,110.0,3,3.5,4.0,8.87,1,0.8,0
321.0,111.0,3,3.5,4.0,8.83,1,0.77,0
320.0,104.0,3,3.0,2.5,8.57,1,0.74,0
