GRE,TOEFL,UnivRating,SOP,LOR,CGPA,Research,Chance,High_Chance
316.0,99.0,2,2.5,3.0,9.0,0,0.7,0
318.0,100.0,2,2.5,3.5,8.54,1,0.71,0
335.0,115.0,4,4.5,4.5,9.68,1,0.93,1
321.0,114.0,4,4.0,5.0,9.12,0,0.85,1
307.0,110.0,4,4.0,4.5,8.37,0,0.79,0
309.0,99.0,3,4.0,4.0,8.56,0,0.76,0
324.0,100.0,3,4.0,5.0,8.64,1,0.78,0
326.0,102.0,4,5.0,5.0,8.76,1,0.77,0
331.0,119.0,4,5.0,4.5,9.34,1,0.9,1
327.0,108.0,5,5.0,3.5,9.13,1,0.87,1
312.0,104.0,3,3.5,4.0,8.09,0,0.71,0
308.0,103.0,2,2.5,4.0,8.36,1,0.7,0
324.0,111.0,3,2.5,1.5,8.79,1,0.7,0
325.0,110.0,2,3.0,2.5,8.76,1,0.75,0
313.0,102.0,3,2.5,2.5,8.68,0,0.71,0
312.0,105.0,2,2.0,2.5,8.45,0,0.72,0
314.0,107.0,3,3.0,3.5,8.17,1,0.73,0
327.0,113.0,4,4.5,5.0,9.14,0,0.83,1
308.0,108.0,4,4.5,5.0,8.34,0,0.77,0
306.0,105.0,2,2.5,3.0,8.22,1,0.72,0
299.0,96.0,2,1.5,2.0,7.86,0,0.54,0
294.0,95.0,1,1.5,1.5,7.64,0,0.49,0
312.0,99.0,1,1.0,1.5,8.01,1,0.52,0
315.0,100.0,1,2.0,2.5,7.95,0,0.58,0
322.0,110.0,3,3.5,3.0,8.96,1,0.78,0
329.0,113.0,5,5.0,4.5,9.45,1,0.89,1
320.0,101.0,2,2.5,3.0,8.62,0,0.7,0
308.0,103.0,2,3.0,3.5,8.49,0,0.66,0
304.0,102.0,2,3.0,4.0,8.73,0,0.67,0
311.0,102.0,3,4.5,4.0,8.64,1,0.68,0
317.0,110.0,3,4.0,4.5,9.11,1,0.8,0
312.0,106.0,3,4.0,3.5,8.79,1,0.81,1
321.0,111.0,3,2.5,3.0,8.9,1,0.8,0
331.0,116.0,5,4.0,4.0,9.26,1,0.93,1
336.0,118.0,5,4.5,4.0,9.19,1,0.92,1
324.0,114.0,5,5.0,4.5,9.08,1,0.89,1
314.0,104.0,4,5.0,5.0,9.02,0,0.82,1
313.0,109.0,3,4.0,3.5,9.0,0,0.79,0
307.0,105.0,2,2.5,3.0,7.65,0,0.58,0
300.0,102.0,2,1.5,2.0,7.87,0,0.56,0
302.0,99.0,2,1.0,2.0,7.97,0,0.56,0
312.0,98.0,1,3.5,3.0,8.18,1,0.64,0
316.0,101.0,2,2.5,2.0,8.32,1,0.61,0
317.0,100.0,2,3.0,2.5,8.57,0,0.68,0
310.0,107.0,3,3.5,3.5,8.67,0,0.76,0
330.0,114.0,3,4.5,4.5,9.24,1,0.9,1
305.0,112.0,3,3.0,3.5,8.65,0,0.71,0
309.0,106.0,2,2.5,2.5,8.0,0,0.62,0
319.0,108.0,2,2.5,3.0,8.76,0,0.66,0
322.0,105.0,2,3.0,3.0,8.45,1,0.65,0
323.0,107.0,3,3.5,3.5,8.55,1,0.73,0
313.0,106.0,2,2.5,2.0,8.43,0,0.62,0
321.0,109.0,3,3.5,3.5,8.8,1,0.74,0
323.0,110.0,3,4.0,3.5,9.1,1,0.79,0
325.0,112.0,4,4.0,4.0,9.0,1,0.8,0
312.0,108.0,3,3.5,3.0,8.53,0,0.69,0
308.0,110.0,4,3.5,3.0,8.6,0,0.7,0
320.0,104.0,3,3.0,3.5,8.74,1,0.76,0
328.0,108.0,4,4.5,4.0,9.18,1,0.84,1
311.0,107.0,4,4.5,4.5,9.0,1,0.78,0
301.0,100.0,3,3.5,3.0,8.04,0,0.67,0
305.0,105.0,2,3.0,4.0,8.13,0,0.66,0
308.0,104.0,2,2.5,3.0,8.07,0,0.65,0
298.0,101.0,2,1.5,2.0,7.86,0,0.54,0
300.0,99.0,1,1.0,2.5,8.01,0,0.58,0
324.0,111.0,3,2.5,2.0,8.8,1,0.79,0
327.0,113.0,4,3.5,3.0,8.69,1,0.8,0
317.0,106.0,3,4.0,3.5,8.5,1,0.75,0
323.0,104.0,3,4.0,4.0,8.44,1,0.73,0
314.0,107.0,2,2.5,4.0,8.27,0,0.72,0
305.0,102.0,2,2.0,2.5,8.18,0,0.62,0
315.0,104.0,3,3.0,2.5,8.33,0,0.67,0
326.0,116.0,3,3.5,4.0,9.14,1,0.81,1
299.0,100.0,3,2.0,2.0,8.02,0,0.63,0
295.0,101.0,2,2.5,2.0,7.86,0,0.69,0
324.0,112.0,4,4.0,3.5,8.77,1,0.8,0
297.0,96.0,2,2.5,1.5,7.89,0,0.43,0
327.0,113.0,3,3.5,3.0,8.66,1,0.8,0
311.0,105.0,2,3.0,2.0,8.12,1,0.73,0
308.0,106.0,3,3.5,2.5,8.21,1,0.75,0
319.0,108.0,3,3.0,3.5,8.54,1,0.71,0
312.0,107.0,4,4.5,4.0,8.65,1,0.73,0
325.0,111.0,4,4.0,4.5,9.11,1,0.83,1
319.0,110.0,3,3.0,2.5,8.79,0,0.72,0
332.0,118.0,5,5.0,5.0,9.47,1,0.94,1
323.0,108.0,5,4.0,4.0,8.74,1,0.81,1
324.0,107.0,5,3.5,4.0,8.66,1,0.81,1
312.0,107.0,3,3.0,3.0,8.46,1,0.75,0
326.0,110.0,3,3.5,3.5,8.76,1,0.79,0
308.0,106.0,3,3.0,3.0,8.24,0,0.58,0
305.0,103.0,2,2.5,3.5,8.13,0,0.59,0
295.0,96.0,2,1.5,2.0,7.34,0,0.47,0
316.0,98.0,1,1.5,2.0,7.43,0,0.49,0
304.0,97.0,2,1.5,2.0,7.64,0,0.47,0
299.0,94.0,1,1.0,1.0,7.34,0,0.42,0
302.0,99.0,1,2.0,2.0,7.25,0,0.57,0
313.0,101.0,3,2.5,3.0,8.04,0,0.62,0
318.0,107.0,3,3.0,3.5,8.27,1,0.74,0
325.0,110.0,4,3.5,4.0,8.67,1,0.73,0
303.0,100.0,2,3.0,3.5,8.06,1,0.64,0
300.0,102.0,3,3.5,2.5,8.17,0,0.63,0
297.0,98.0,2,2.5,3.0,7.67,0,0.59,0
317.0,106.0,2,2.0,3.5,8.12,0,0.73,0
327.0,109.0,3,3.5,4.0,8.77,1,0.79,0
301.0,104.0,2,3.5,3.5,7.89,1,0.68,0
314.0,105.0,2,2.5,2.0,7.64,0,0.7,0
321.0,107.0,2,2.0,1.5,8.44,0,0.81,1
322.0,110.0,3,4.0,5.0,8.64,1,0.85,1
334.0,116.0,4,4.0,3.5,9.54,1,0.93,1
338.0,115.0,5,4.5,5.0,9.23,1,0.91,1
306.0,103.0,2,2.5,3.0,8.36,0,0.69,0
313.0,102.0,3,3.5,4.0,8.9,1,0.77,0
330.0,114.0,4,4.5,3.0,9.17,1,0.86,1
320.0,104.0,3,3.5,4.5,8.34,1,0.74,0
311.0,98.0,1,1.0,2.5,7.46,0,0.57,0
298.0,92.0,1,2.0,2.0,7.88,0,0.51,0
301.0,98.0,1,2.0,3.0,8.03,1,0.67,0
310.0,103.0,2,2.5,2.5,8.24,0,0.72,0
324.0,110.0,3,3.5,3.0,9.22,1,0.89,1
336.0,119.0,4,4.5,4.0,9.62,1,0.95,1
321.0,109.0,3,3.0,3.0,8.54,1,0.79,0
315.0,105.0,2,2.0,2.5,7.65,0,0.39,0
304.0,101.0,2,2.0,2.5,7.66,0,0.38,0
297.0,96.0,2,2.5,2.0,7.43,0,0.34,0
290.0,100.0,1,1.5,2.0,7.56,0,0.47,0
303.0,98.0,1,2.0,2.5,7.65,0,0.56,0
311.0,99.0,1,2.5,3.0,8.43,1,0.71,0
322.0,104.0,3,3.5,4.0,8.84,1,0.78,0
319.0,105.0,3,3.0,3.5,8.67,1,0.73,0
324.0,110.0,4,4.5,4.0,9.15,1,0.82,1
300.0,100.0,3,3.0,3.5,8.26,0,0.62,0
302.0,101.0,2,2.5,3.5,7.96,0,0.46,0
307.0,105.0,2,2.0,3.5,8.1,0,0.53,0
296.0,97.0,2,1.5,2.0,7.8,0,0.49,0
320.0,108.0,3,3.5,4.0,8.44,1,0.76,0
314.0,102.0,2,2.0,2.5,8.24,0,0.64,0
318.0,106.0,3,2.0,3.0,8.65,0,0.71,0
326.0,112.0,4,4.0,3.5,9.12,1,0.84,1
317.0,104.0,2,3.0,3.0,8.76,0,0.77,0
329.0,111.0,4,4.5,4.0,9.23,1,0.89,1
324.0,110.0,3,3.5,3.5,9.04,1,0.82,1
325.0,107.0,3,3.0,3.5,9.11,1,0.84,1
330.0,116.0,4,5.0,4.5,9.45,1,0.91,1
312.0,103.0,3,3.5,4.0,8.78,0,0.67,0
333.0,117.0,4,5.0,4.0,9.66,1,0.95,1
304.0,100.0,2,3.5,3.0,8.22,0,0.63,0
315.0,105.0,2,3.0,3.0,8.34,0,0.66,0
324.0,109.0,3,3.5,3.0,8.94,1,0.78,0
330.0,116.0,4,4.0,3.5,9.23,1,0.91,1
311.0,101.0,3,2.0,2.5,7.64,1,0.62,0
302.0,99.0,3,2.5,3.0,7.45,0,0.52,0
322.0,103.0,4,3.0,2.5,8.02,1,0.61,0
298.0,100.0,3,2.5,4.0,7.95,1,0.58,0
297.0,101.0,3,2.0,4.0,7.67,1,0.57,0
300.0,98.0,1,2.0,2.5,8.02,0,0.61,0
301.0,96.0,1,3.0,4.0,7.56,0,0.54,0
313.0,94.0,2,2.5,1.5,8.13,0,0.56,0
314.0,102.0,4,2.5,2.0,7.88,1,0.59,0
317.0,101.0,3,3.0,2.0,7.94,1,0.49,0
321.0,110.0,4,3.5,4.0,8.35,1,0.72,0
327.0,106.0,4,4.0,4.5,8.75,1,0.76,0
315.0,104.0,3,4.0,2.5,8.1,0,0.65,0
316.0,103.0,3,3.5,2.0,7.68,0,0.52,0
309.0,111.0,2,2.5,4.0,8.03,0,0.6,0
308.0,102.0,2,2.0,3.5,7.98,1,0.58,0
299.0,100.0,3,2.0,3.0,7.42,0,0.42,0
321.0,112.0,3,3.0,4.5,8.95,1,0.77,0
322.0,112.0,4,3.5,2.5,9.02,1,0.73,0
334.0,119.0,5,4.5,5.0,9.54,1,0.94,1
325.0,114.0,5,4.0,5.0,9.46,1,0.91,1
312.0,106.0,3,3.0,5.0,8.57,0,0.71,0
310.0,101.0,3,3.5,5.0,8.65,1,0.71,0
316.0,103.0,2,2.0,4.5,8.74,0,0.69,0
311.0,104.0,3,4.0,3.5,8.13,1,0.74,0
320.0,112.0,2,3.5,3.5,8.78,1,0.73,0
324.0,112.0,4,4.5,4.0,9.22,1,0.86,1
316.0,111.0,4,4.0,5.0,8.54,0,0.71,0
306.0,103.0,3,3.5,3.0,8.21,0,0.64,0
309.0,105.0,2,2.5,4.0,7.68,0,0.55,0
310.0,110.0,1,1.5,4.0,7.23,1,0.58,0
317.0,106.0,1,1.5,3.5,7.65,1,0.61,0
318.0,110.0,1,2.5,3.5,8.54,1,0.67,0
312.0,105.0,2,1.5,3.0,8.46,0,0.66,0
305.0,104.0,2,2.5,1.5,7.79,0,0.53,0
332.0,112.0,1,1.5,3.0,8.66,1,0.79,0
331.0,116.0,4,4.5,4.5,9.44,1,0.92,1
321.0,114.0,5,4.5,4.5,9.16,1,0.87,1
324.0,113.0,5,4.0,5.0,9.25,1,0.92,1
328.0,116.0,5,4.5,5.0,9.08,1,0.91,1
327.0,118.0,4,5.0,5.0,9.67,1,0.93,1
320.0,108.0,3,3.5,5.0,8.97,1,0.84,1
312.0,109.0,2,2.5,4.0,9.02,0,0.8,0
315.0,101.0,3,3.5,4.5,9.13,0,0.79,0
320.0,112.0,4,3.0,4.5,8.86,1,0.82,1
324.0,113.0,4,4.5,4.5,9.25,1,0.89,1
328.0,116.0,4,5.0,3.5,9.6,1,0.93,1
319.0,103.0,3,2.5,4.0,8.76,1,0.73,0
310.0,105.0,2,3.0,3.5,8.01,0,0.71,0
305.0,102.0,2,1.5,2.5,7.64,0,0.59,0
299.0,100.0,2,2.0,2.0,7.88,0,0.51,0
295.0,99.0,1,2.0,1.5,7.57,0,0.37,0
312.0,100.0,1,3.0,3.0,8.53,1,0.69,0
329.0,113.0,4,4.0,3.5,9.36,1,0.89,1
319.0,105.0,4,4.0,4.5,8.66,1,0.77,0
301.0,102.0,3,2.5,2.0,8.13,1,0.68,0
307.0,105.0,4,3.0,3.0,7.94,0,0.62,0
304.0,107.0,3,3.5,3.0,7.86,0,0.57,0
298.0,97.0,2,2.0,3.0,7.21,0,0.45,0
305.0,96.0,4,3.0,4.5,8.26,0,0.54,0
314.0,99.0,4,3.5,4.5,8.73,1,0.71,0
318.0,101.0,5,3.5,5.0,8.78,1,0.78,0
323.0,110.0,4,4.0,5.0,8.88,1,0.81,1
326.0,114.0,4,4.0,3.5,9.16,1,0.86,1
320.0,110.0,5,4.0,4.0,9.27,1,0.87,1
311.0,103.0,3,2.0,4.0,8.09,0,0.64,0
327.0,116.0,4,4.0,4.5,9.48,1,0.9,1
316.0,102.0,2,4.0,3.5,8.15,0,0.67,0
308.0,105.0,4,3.0,2.5,7.95,1,0.67,0
300.0,101.0,3,3.5,2.5,7.88,0,0.59,0
304.0,104.0,3,2.5,2.0,8.12,0,0.62,0
309.0,105.0,4,3.5,2.0,8.18,0,0.65,0
318.0,103.0,3,4.0,4.5,8.49,1,0.71,0
325.0,110.0,4,4.5,4.0,8.96,1,0.79,0
321.0,102.0,3,3.5,4.0,9.01,1,0.8,0
323.0,107.0,4,3.0,2.5,8.48,1,0.78,0
328.0,113.0,4,4.0,2.5,8.77,1,0.83,1
304.0,103.0,5,5.0,3.0,7.92,0,0.71,0
317.0,106.0,3,3.5,3.0,7.89,1,0.73,0
311.0,101.0,2,2.5,3.5,8.34,1,0.7,0
319.0,102.0,3,2.5,2.5,8.37,0,0.68,0
327.0,115.0,4,3.5,4.0,9.14,0,0.79,0
322.0,112.0,3,3.0,4.0,8.62,1,0.76,0
302.0,110.0,3,4.0,4.5,8.5,0,0.65,0
307.0,105.0,2,2.5,4.5,8.12,1,0.67,0
297.0,99.0,4,3.0,3.5,7.81,0,0.54,0
298.0,101.0,4,2.5,4.5,7.69,1,0.53,0
300.0,95.0,2,3.0,1.5,8.22,1,0.62,0
301.0,99.0,3,2.5,2.0,8.45,1,0.68,0
332.0,108.0,5,4.5,4.0,9.02,1,0.87,1
312.0,103.0,4,4.0,5.0,8.43,0,0.73,0
327.0,113.0,4,4.5,4.5,9.04,0,0.84,1
